Date Added,Category 1,Category 2,Sub-Category 1,Sub-Category 2,Role,Real Name,Sentiment,Hashtags,Comments,Tweet example text,Tweet example link
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,negative,#laschetsein,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,negative,#virusarmin,,,
,Political Actors,,CDU,,former chancellor,Angela Merkel,,#merkel,,,
,Political Actors,,CDU,,former chancellor,Angela Merkel,,#angelamerkel,,,
,Political Actors,,CDU,,former chancellor,Angela Merkel,negative,#merkelmussweg,,,
,Political Actors,,CDU,,former chancellor,Angela Merkel,,#mutti,,,
,Political Actors,,CDU,,leader parliamentary group,Ralph Brinkhaus,,#ralphbrinkhaus,,,
,Political Actors,,CDU,,leader parliamentary group,Ralph Brinkhaus,,#brinkhaus,,,
,Political Actors,,CDU,,secretary general,Paul Ziemiak,,#paulziemiak,,,
,Political Actors,,CDU,,secretary general,Paul Ziemiak,,#ziemiak,,,
,Political Actors,,CDU,,defense minister,Anngret Kramp-Karrenbauer,,#annegretkramp-karrenbauer,,,
,Political Actors,,CDU,,defense minister,Anngret Kramp-Karrenbauer,,#kramp-karrenbauer,,,
,Political Actors,,CDU,,defense minister,Anngret Kramp-Karrenbauer,,#krampkarrenbauer,,,
,Political Actors,,CDU,,defense minister,Anngret Kramp-Karrenbauer,,#akk,,,
,Political Actors,,CDU,,employment minister,Peter Altmair,,#peteraltmair,,,
,Political Actors,,CDU,,employment minister,Peter Altmair,,#altmaier,,,
,Political Actors,,CDU,,former defense minister,Ursula von der Leyer,,#ursulavonderleyen,,,
,Political Actors,,CDU,,former defense minister,Ursula von der Leyer,,#vonderleyen,,,
,Political Actors,,CDU,,agriculture minister,Julia Klöckner,,#klöckner,,,
,Political Actors,,CDU,,agriculture minister,Julia Klöckner,,#kloeckner,,,
,Political Actors,,CDU,,agriculture minister,Julia Klöckner,,#juliaklöckner,,,
,Political Actors,,CDU,,agriculture minister,Julia Klöckner,,#juliakloeckner,,,
,Political Actors,,CDU,,health minister,Jens Spahn,,#jensspahn,,,
,Political Actors,,CDU,,health minister,Jens Spahn,,#spahn,,,
,Political Actors,,CDU,,health minister,Jens Spahn,,#spahnjens,,,
,Political Actors,,CDU,,education minister,Anja Karliczek,,#anjakarliczek,,,
,Political Actors,,CDU,,education minister,Anja Karliczek,,#karliczek,,,
,Political Actors,,CDU,,governor hessen,Volker Bouffier,,#volkerbouffier,,,
,Political Actors,,CDU,,governor hessen,Volker Bouffier,,#bouffier,,,
,Political Actors,,CDU,,governor saarland,Tobias Hans,,#tobiashans,,,
,Political Actors,,CDU,,governor sachsen,Michael Kretschmer,,#michaelkretschmer,,,
,Political Actors,,CDU,,governor sachsen,Michael Kretschmer,,#kretschmer,,,
,Political Actors,,CDU,,governor sachsen-anhalt,Reiner Haseloff,,#reinerhaseloff,,,
,Political Actors,,CDU,,governor sachsen-anhalt,Reiner Haseloff,,#haseloff,,,
,Political Actors,,CDU,,governor schleswig-holstein,Daniel Günther,,#danielgünther,,,
,Political Actors,,CDU,,governor schleswig-holstein,Daniel Günther,,#danielguenther,,,
,Political Actors,,CDU,,other,Hans-Georg Maaßen,,#hansgeorgmaaßen,,,
,Political Actors,,CDU,,other,Hans-Georg Maaßen,,#maassen,,,
,Political Actors,,CDU,,other,Friedrich Merz,negative,#merzverhindern,,,
,Political Actors,,CSU,,leader,Markus Söder,,#markussöder,,,
,Political Actors,,CSU,,leader,Markus Söder,,#söder,,,
,Political Actors,,CSU,,leader,Markus Söder,,#markussoeder,,,
,Political Actors,,CSU,,leader,Markus Söder,,#soeder,,,
,Political Actors,,CSU,,leader CSU group ,Alexander Dobrindt,,#alexanderdobrindt,,,
,Political Actors,,CSU,,leader CSU group ,Alexander Dobrindt,,#dobrindt,,,
,Political Actors,,CSU,,secretary general,Markus Blume,,#markusblume,,,
,Political Actors,,CSU,,interior minister,Horst Seehofer,,#horstseehofer,,,
,Political Actors,,CSU,,interior minister,Horst Seehofer,,#seehofer,,,
,Political Actors,,CSU,,transportation minister,Andreas Scheuer,,#andreasscheuer,,,
,Political Actors,,CSU,,transportation minister,Andreas Scheuer,,#scheuer,,,
,Political Actors,,CSU,,transportation minister,Andreas Scheuer,,#scheuerandi,,,
,Political Actors,,CSU,,development minister,Gerd Müller,,#gerdmüller,,,
,Political Actors,,CSU,,development minister,Gerd Müller,,#gerdmueller,,,
,Political Actors,,SPD,,"leader, candidate",Olaf Scholz,,#olafscholz,,,
,Political Actors,,SPD,,"leader, candidate",Scholz ,,#scholz,,,
,Political Actors,,SPD,,leader,Saskia Esken,,#saskiaesken,,,
,Political Actors,,SPD,,leader,Saskia Esken,,#esken,,,
,Political Actors,,SPD,,leader,Norbert Walter-Borjans,,#norbertwalter-borjans,,,
,Political Actors,,SPD,,leader,Norbert Walter-Borjans,,#norbertwalterborjans,,,
,Political Actors,,SPD,,leader,Norbert Walter-Borjans,,#walter-borjans,,,
,Political Actors,,SPD,,leader,Norbert Walter-Borjans,,#walterborjans,,,
,Political Actors,,SPD,,secretary general,Lars Klingbeil,,#larsklingbeil,,,
,Political Actors,,SPD,,secretary general,Lars Klingbeil,,#klingbeil,,,
,Political Actors,,SPD,,leader parliamentary group,Rolf Mützenich,,#rolfmützenich,,,
,Political Actors,,SPD,,leader parliamentary group,Rolf Mützenich,,#rolfmuetzenich,,,
,Political Actors,,SPD,,leader parliamentary group,Rolf Mützenich,,#mützenich,,,
,Political Actors,,SPD,,leader parliamentary group,Rolf Mützenich,,#muetzenich,,,
,Political Actors,,SPD,,foreign minister,Heiko Maas,,#heikomaas,,,
,Political Actors,,SPD,,foreign minister,Heiko Maas,,#maas,,,
,Political Actors,,SPD,,foreign minister,Heiko Maas,,#maasvoll,,,
,Political Actors,,SPD,,former justice minister,Katarina Barley,,#katarinabarley,,,
,Political Actors,,SPD,,former justice minister,Katarina Barley,,#barley,,,
,Political Actors,,SPD,,"justice minister, family minister",Christine Lambrecht,,#christinelambrecht,,,
,Political Actors,,SPD,,"justice minister, family minister",Christine Lambrecht,,#lambrecht,,,
,Political Actors,,SPD,,employment minister,Hubertusheil,,#hubertusheil,,,
,Political Actors,,SPD,,former family minister,Franziska Giffey,,#franziskagiffey,,,
,Political Actors,,SPD,,former family minister,Franziska Giffey,,#giffey,,,
,Political Actors,,SPD,,environment minister,Svenja Schulze,,#svenjaschulze,,,
,Political Actors,,SPD,,governor berlin,Michael Müller,,#michaelmüller,,,
,Political Actors,,SPD,,governor berlin,Michael Müller,,#michaelmueller,,,
,Political Actors,,SPD,,governor brandenburg,Dietmar Woidke,,#dietmarwoidke,,,
,Political Actors,,SPD,,governor brandenburg,Dietmar Woidke,,#woidke,,,
,Political Actors,,SPD,,governor bremen,Andreas Bovenschulte,,#andreasbovenschulte,,,
,Political Actors,,SPD,,governor bremen,Andreas Bovenschulte,,#bovenschulte,,,
,Political Actors,,SPD,,governor hamburg,Peter Tschentscher,,#petertschentscher,,,
,Political Actors,,SPD,,governor hamburg,Peter Tschentscher,,#tschentscher,,,
,Political Actors,,SPD,,governor m-v,Manuela Schwesig,,#manuelaschwesig,,,
,Political Actors,,SPD,,governor m-v,Manuela Schwesig,,#schwesig,,,
,Political Actors,,SPD,,governor niedersachsen,Stephan Weil,,#stephanweil,,,
,Political Actors,,SPD,,governor rheinland-pfalz,Malu Dreyer,,#maludreyer,,,
,Political Actors,,SPD,,governor rheinland-pfalz,Malu Dreyer,,#dreyer,,,
,Political Actors,,FDP,,"leader, candidate, parliamentary group",Christian Lindner,,#christianlindner,,,
,Political Actors,,FDP,,"leader, candidate, parliamentary group",Christian Lindner,,#lindner,,,
,Political Actors,,FDP,,secretary general,Volker Wissing,,#volkerwissing,,,
,Political Actors,,FDP,,secretary general,Volker Wissing,,#wissing,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,,#annalenabaerbock,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,,#baerbock,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,positive,#baerbockforkanzlerin,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,positive,#baerbockzug,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerplag,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerbockplag,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerplug,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerbockfail,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerbockfails,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerbockmist,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerbockverhindern,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#baerbockgate,,,
,Political Actors,,Bündnis 90/Die Grünen,,"leader, candidate",Annalena Baerbock,negative,#verbaerbockt,,,
,Political Actors,,Bündnis 90/Die Grünen,,leader,Robert Habeck,,#roberthabeck,,,
,Political Actors,,Bündnis 90/Die Grünen,,leader,Robert Habeck,,#habeck,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#katringöring-eckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#katringöringeckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#katringoering-eckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#katringoeringeckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#göring-eckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#goering-eckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#göringeckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Katrin Göring-Eckardt,,#goeringeckardt,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Anton Hofreiter,,#antonhofreiter,,,
,Political Actors,,Bündnis 90/Die Grünen,,parliamentary group,Anton Hofreiter,,#hofreiter,,,
,Political Actors,,Bündnis 90/Die Grünen,,secretary general,Michael Kellner,,#michaelkellner,,,
,Political Actors,,Bündnis 90/Die Grünen,,governor baden-württemberg,Winfried Kretschmann,,#winfriedkretschmann,,,
,Political Actors,,Bündnis 90/Die Grünen,,governor baden-württemberg,Winfried Kretschmann,,#kretschmann,,,
,Political Actors,,AfD,,"leader, candidate",Tino Chrupalla,,#tinochrupalla,,,
,Political Actors,,AfD,,"leader, candidate",Tino Chrupalla,,#chrupalla,,,
,Political Actors,,AfD,,"candidate, parliamentary group",Alice Weidel,,#aliceweidel,,,
,Political Actors,,AfD,,"candidate, parliamentary group",Alice Weidel,,#weidel,,,
,Political Actors,,AfD,,leader,Jörg Meuthen,,#jörgmeuthen,,,
,Political Actors,,AfD,,leader,Jörg Meuthen,,#joergmeuthen,,,
,Political Actors,,AfD,,leader,Jörg Meuthen,,#meuthen,,,
,Political Actors,,AfD,,parliamentary group,Alexander Gauland,,#alexandergauland,,,
,Political Actors,,AfD,,parliamentary group,Alexander Gauland,,#gauland,,,
,Political Actors,,Die Linke,,"leader, candidate",Janine Wissler,,#janinewissler,,,
,Political Actors,,Die Linke,,"leader, candidate",Janine Wissler,,#wissler,,,
,Political Actors,,Die Linke,,candidate,Dietmar Bartsch,,#dietmarbartsch,,,
,Political Actors,,Die Linke,,candidate,Dietmar Bartsch,,#bartsch,,,
,Political Actors,,Die Linke,,leader,Susanne Hennig-Wellsow,,#susannehennig-wellsow,,,
,Political Actors,,Die Linke,,leader,Susanne Hennig-Wellsow,,#susannehennigwellsow,,,
,Political Actors,,Die Linke,,leader,Susanne Hennig-Wellsow,,#hennig-wellsow,,,
,Political Actors,,Die Linke,,leader,Susanne Hennig-Wellsow,,#hennigwellsow,,,
,Political Actors,,Die Linke,,governor thüringen,Bodo Ramelow,,#bodoramelow,,,
,Political Actors,,Die Linke,,governor thüringen,Bodo Ramelow,,#ramelow,,,
,Parties,,CDU,,,,,#cdu,,,
,Parties,,CDU,,,,,#christdemokraten,,,
,Parties,,CDU,,,,,#christdemokrat,,,
,Parties,,CDU,,,,negative,#cdukorruption,,"Spähnchen Schlau ist ein element des #Lobbyismus bzw. der #CDUKorruption (Hastag recycled aber passt halt)... d.h. wenn der Typ weg ist, kommt ein anderer der das Selbe macht. #ePA soll Zwang werden, Lobbyismus & ""Wissenschaft"" im Schulterschluss gegen UNabh. Menschen ",https://twitter.com/AnkaruG/status/1414588614579834886
,Parties,,CDU,,,,negative,#korruptioncdu,,,
,Parties,,CDU,,,,negative,#cdurausausderregierung,,,
,Parties,,CDU,,,,negative,#fckcdu,,,
,Parties,,CDU,,,,negative,#cduunter20prozent,,,
,Parties,,CDU,,,,negative,#schwarzerfilz,,,
,Parties,,CSU,,,,,#csu,,,
,Parties,,CDU,CSU,,,,#union,,,
,Parties,,CDU,CSU,,,,#deutschlandgemeinsammachen,,,
,Parties,,CDU,CSU,,,,#cducsu,,,
,Parties,,CDU,CSU,,,,#werteunion,,,
,Parties,,CDU,CSU,,,negative,#niemehrcducsu,,,
,Parties,,SPD,,,,,#spd,,,
,Parties,,SPD,,,,,#sozialdemokraten,,,
,Parties,,SPD,,,,,#sozialdemokrat,,,
,Parties,,SPD,,,,,#sozialepolitikfuerdich,,,
,Parties,,SPD,,,,negative,#niewiederspd,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#diegrünen,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#diegruenen,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#grünen,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#gruenen,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#grüne,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#gruene,,,
,Parties,,Bündnis 90/Die Grünen,,,,,"""#grün*innen""",,,
,Parties,,Bündnis 90/Die Grünen,,,,,"""#guen*innen""",,,
,Parties,,Bündnis 90/Die Grünen,,,,,#bündnisgrüne,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#buendnisgruene,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#mitdir,,,
,Parties,,Bündnis 90/Die Grünen,,,,,#gruenejugend,,,
,Parties,,Bündnis 90/Die Grünen,,,,positive,#5stimmengrün,,,
,Parties,,Bündnis 90/Die Grünen,,,,positive,#wahlkampffürdiegrünen,,,
,Parties,,Bündnis 90/Die Grünen,,,,negative,#grueneverhindern,,,
,Parties,,Bündnis 90/Die Grünen,,,,negative,#verbotspartei,,,
,Parties,,Bündnis 90/Die Grünen,,,,negative,#verbotspolitik,,,
,Parties,,Bündnis 90/Die Grünen,,,,negative,#träumerpartei,,,
,Parties,,Bündnis 90/Die Grünen,,,,negative,#diegrünenunwählbar,,,
,Parties,,FDP,,,,,#fdp,,,
,Parties,,FDP,,,,,#freiedemokraten,,,
,Parties,,FDP,,,,,#dieliberalen,,,
,Parties,,FDP,,,,,#vielzutun,,,
,Parties,,FDP,,,,,#viergutejahre,,,
,Parties,,FDP,,,,negative,#niemandbrauchtdiefdp,,,
,Parties,,FDP,,,,,#niemehrfdp,,,
,Parties,,AfD,,,,,#afd,,,
,Parties,,AfD,,,,,#alternativefürdeutschland,,,
,Parties,,AfD,,,,,#alternativefuerdeutschland,,,
,Parties,,AfD,,,,,#deutschlandabernormal,,,
,Parties,,AfD,,,,,#afdimbundestag,,,
,Parties,,AfD,,,,positive,#afdwirkt,,,
,Parties,,AfD,,,,,#mutzudeutschland,,,
,Parties,,AfD,,,,negative,#noafd,,,
,Parties,,AfD,,,,negative,#afdrausausdenparlamenten,,,
,Parties,,AfD,,,,negative,#fckafd,,,
,Parties,,AfD,,,,negative,#afdbeobachtungjetzt,,,
,Parties,,AfD,,,,negative,#afdverfassungsfeindlich,,,
,Parties,,Die Linke,,,,,#dielinke,,,
,Parties,,Die Linke,,,,,#linkspartei,,,
,Parties,,Die Linke,,,,,#sozialklimagerecht,,,
,Parties,,Die Linke,,,,,#machtdaslandgerecht,,,
,Parties,,Die Linke,,,,positive,#besserdielinke,,,
,Parties,,Die Linke,,,,positive,#linkswirkt,,,
12.07.2021,Election,,Election general,,,,,#bundeswahlausschuss,,#Bundeswahlausschuss entscheidet: „Piratenpartei Deutschland“ ist als Partei zur #btw21 anerkannt.,https://twitter.com/Wahlleiter_Bund/status/1413401312365092865
12.07.2021,Parties,,FDP,,,,,#denkenwirneu,,"So darf ein Tag beginnen. Nur noch 0,5% bis zur psychologisch wichtigen Zweistelligkeit. #SPD, wir kommen! #fdp #denkenwirneu #insa",https://twitter.com/IchBinIronman/status/1216971051630055424
12.07.2021,Election,,Election Process,,,,,#koalitionsaussage,,#DenkenWirNeu: Wir werden ohne #Koalitionsaussage in die Bundestagswahl gehen. #BTW17 #btw,https://twitter.com/fdp/status/884326656449679361
12.07.2021,Parties,,Bündnis 90/Die Grünen,,,,negative,#baerbockjetzterstrecht,,Lasst uns endlich über Inhalte reden. #BaerbockJetztErstRecht,https://twitter.com/MaxLinke_/status/1411970295238377476
12.07.2021,Parties,,Bündnis 90/Die Grünen,,,,,#grünewelle,,"Was sind das nur für Trolle unter grünen Tweets? Alles Millionäre? Finden die Entlastungen für sich nicht gut? Wie kann man was gegen sauber Luft, weniger Lärm, gesunde Nahrung, keine Tierquälerei etc. haben? Völlig sinnentleert diese Hater Grinsendes Gesicht mit lächelnden Augen#grüneWelle",https://twitter.com/h_odiug/status/1413082294244548616
12.07.2021,Political Actors,,CDU,CSU,,Armin Laschet,negative,#laschetluegt,,Laschet sagt er wolle die Klimaziele erreichen. Dafür wäre in NRW mind. eine Verdreifachung des Zubaus notwendig. Durch die neue gesetzliche Abstandsregel können jedoch 85% aller Windräder nicht erneuert werden. Klimaschutz durch Ausbremsen der Erneuerbaren. #LaschetLuegt,https://twitter.com/JGemassmer/status/1414533622510538756
12.07.2021,Political Actors,,CDU,CSU,,Armin Laschet,negative,#laschetkneift,,"Laschet ist ein Wendehals und ein Blender. Er würde momentan alles versprechen, was Stimmen bringt. Leute, bitte tut mir den Gefallen und macht den nicht zum Kanzler. #LaschetLuegt #LaschetKneift #LaschetVerhindern",https://twitter.com/uzantoelmajenco/status/1414482413166727171
13.07.2021,Political Actors,,CDU,CSU,,,,#jungeunion,,,
13.07.2021,Event,,,,,,,#MSCdebate,,,
13.07.2021,,,,,,,negative,#nazi,,,
13.07.2021,,,,,,,ambivalent,#antifa,,,
13.07.2021,,,,,,,negative,#wutbürger,,,
13.07.2021,,,,,,,negative,#gutmensch,,,
13.07.2021,,,,,,,negative,#ökö,,,
13.07.2021,,,,,,,,#identitäre,,,
13.07.2021,,,,,,,,#dritterweg,,,
13.07.2021,,,,,,,,#IIIweg,,,
13.07.2021,,,,,,,negative,#lügenpresse,,,
13.07.2021,,,,,,,,#allefürsKlima,,,
13.07.2021,,,,,,,,#Fridaysforfuture,,,
13.07.2021,,,,,,,,#UproottheSystem,"global action day by Fridays for Future on September 24, 2021",,
13.07.2021,,,,,,,,#Kohleausstieg,,,
13.07.2021,,,,,,,,#Klimakrise,already in Issue list (tab3),,
21.07.2021,,,,,,,,#Katastrophe,,,
21.07.2021,,,,,,,,#Hochwasser,,,
21.07.2021,,,,,,,,#Flutkatastrophe,,,
21.07.2021,,,,,,,,#Laschetlacht,Chancellor candidate Armin Laschet laughing in the background of an interview with Steinmeier during a visit at a site hit by the flooding,,
21.07.2021,Culture&Sports,,,,,,,#Olympia2020,,,
21.07.2021,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
